GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
academia-application/academia-commons,com.capgemini.academia.exceptions,NotAllowedOperationException,11,0,0,0,4,0,3,0,3,0
academia-application/academia-commons,com.capgemini.academia.exceptions,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
academia-application/academia-commons,com.capgemini.academia.exceptions,BusinessException,179,0,0,0,48,0,18,0,18,0
academia-application/academia-commons,com.capgemini.academia.commons,Messages,43,0,0,0,13,0,3,0,3,0
academia-application/academia-commons,com.capgemini.academia.dto,Module.ModuleBuilder,62,0,0,0,1,0,7,0,7,0
academia-application/academia-commons,com.capgemini.academia.dto,ApplicationEntry,231,0,38,0,8,0,34,0,15,0
academia-application/academia-commons,com.capgemini.academia.dto,Module,231,0,38,0,8,0,34,0,15,0
academia-application/academia-commons,com.capgemini.academia.dto,CustomErrorResponse,50,0,0,0,12,0,7,0,7,0
academia-application/academia-commons,com.capgemini.academia.dto,ApplicationEntry.ApplicationEntryBuilder,62,0,0,0,1,0,7,0,7,0
academia-application/academia-persistence,com.capgemini.academia.model,ModuleEntity,231,0,38,0,8,0,34,0,15,0
academia-application/academia-persistence,com.capgemini.academia.model,ApplicationItem.ApplicationItemBuilder,62,0,0,0,1,0,7,0,7,0
academia-application/academia-persistence,com.capgemini.academia.model,ApplicationItem,231,0,38,0,8,0,34,0,15,0
academia-application/academia-persistence,com.capgemini.academia.model,ModuleEntity.ModuleEntityBuilder,62,0,0,0,1,0,7,0,7,0
academia-application/academia-persistence,com.capgemini.academia.repository.impl,BaseRepositoryImpl,208,0,0,0,50,0,17,0,17,0
academia-application/academia-services,com.capgemini.academia.service.impl,ApplicationServiceImpl,7,0,0,0,2,0,2,0,2,0
academia-application/academia-services,com.capgemini.academia.handler,ErrorHandler,46,0,0,0,9,0,5,0,5,0
academia-application/academia-services,com.capgemini.academia.controller,ApplicationController,9,0,0,0,3,0,3,0,3,0
